com.samsung.shealth.best_records,7006003,3
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,is_shown,extra_data,extra_type,deviceuuid,pkg_name,controller_id,datauuid
,-100003,2026-08-02 20:52:19.619,2024-10-24 20:26:05.070,,1569888000000,0,8615.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,e59ab822-fcb3-4da4-acb3-66a415f987c5,
,-100003,2026-08-02 20:52:19.625,2024-10-24 20:26:05.131,,1571270400000,0,9234.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,3c484651-89b7-4f5b-b4b4-e80857197c64,
,-100003,2026-08-02 20:52:19.628,2024-10-24 20:26:05.193,,1579046400000,0,11772.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,fd8c0dae-3592-49a1-b0ee-aa280d2fdce4,
,-100003,2026-08-02 20:52:19.630,2024-10-24 20:26:05.285,,1581379200000,0,11850.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,9cf13d7b-1881-4465-bee4-eca1ccc7ed43,
,-100003,2026-08-02 20:52:19.633,2024-10-24 20:26:05.310,,1624406400000,0,11851.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,5a142e82-a179-4743-b45a-41b62cc71401,
,-1,2026-08-02 16:59:42.248,2024-10-24 20:26:20.390,,1690416000000,6,152.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,1a35b676-940c-490e-807d-6bb3dbd351a2,
,-1,2026-08-02 16:59:42.236,2024-10-24 20:26:19.877,,1628035200000,6,44.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,37eac5a1-3804-4103-8788-e0c6c867288a,
,-1,2026-08-02 16:59:42.240,2024-10-24 20:26:19.943,,1652832000000,6,112.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,1af3bdb1-7d5c-41cc-8e1d-a996d423e27e,
,-1,2026-08-02 16:59:42.242,2024-10-24 20:26:20.005,,1654041600000,6,122.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,fb304d97-805b-429e-b5f1-43d0da510395,
,-1,2026-08-02 16:59:42.245,2024-10-24 20:26:20.181,,1678147200000,6,134.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.floor,4c587cd9-3773-4e30-ac70-74d9bd6720de,
,-100003,2026-08-02 20:52:19.640,2025-06-27 18:30:00.344,,1750982400000,0,16890.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,2caabbf6-e04e-4eb7-bec6-88b7df0f4af7,
,-100003,2026-08-02 20:52:19.642,2025-10-12 01:03:29.804,,1760140800000,0,19249.0,0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,ce60d89f-1474-49b8-864d-b6780f6e2e61,
