com.samsung.shealth.program.sleep_coaching.mission,7006003,4
time_tag,create_sh_ver,answer,priority,modify_sh_ver,update_time,selected_option,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
,62710150,null,6,62710150,2024-08-10 03:01:49.106,,2024-08-10 03:01:49.106,2,2,HB_06,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,141e6782-c435-4ae6-a1f8-ae2f7085e5f3,0,
,62710150,null,3,62710150,2024-08-10 03:01:49.106,,2024-08-10 03:01:49.106,2,2,HB_03,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,fdd0a282-04e7-4092-8db7-988ac4a6f1f0,0,
,62710150,null,3,62710150,2024-08-10 03:01:49.107,,2024-08-10 03:01:49.107,2,3,HB_03,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,8e083fcf-8b0b-4783-b687-18c2e8ca1414,0,
,62710150,null,9,62710150,2024-08-10 03:01:49.107,,2024-08-10 03:01:49.107,2,3,HB_09,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,445deb21-7d88-4118-8675-827606dff0f0,0,
,62710150,null,6,62710150,2024-08-10 03:01:49.107,,2024-08-10 03:01:49.107,2,4,HB_06,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,f229bf58-9163-47a9-8f64-8b824325b1ef,0,
,62710150,null,9,62710150,2024-08-10 03:01:49.106,,2024-08-10 03:01:49.106,2,2,HB_09,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,4aeb0dac-3245-4ad4-b587-c74e169037e2,0,
,62710150,null,9,62710150,2024-08-10 03:01:49.106,,2024-08-10 03:01:49.106,2,1,HB_09,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,d9e4853b-f2d9-428a-8441-ddb42879f0ba,0,
,62710150,null,9,62710150,2024-08-10 03:01:49.107,,2024-08-10 03:01:49.107,2,4,HB_09,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,586bf8d1-44ba-469c-8bdd-a24b9ee61028,0,
,62710150,null,5,62710150,2024-08-10 03:01:49.106,,2024-08-10 03:01:49.106,2,2,HB_05,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,8d6160e4-4a82-4781-923d-77b494f2a5a8,0,
,62710150,null,11,62710150,2024-08-10 03:01:49.107,,2024-08-10 03:01:49.107,2,4,HB_11,aqfQc5yGC4,com.sec.android.app.shealth,1,ee80c06b-7247-49f4-acee-4a8cd967887e,302254f8-5b96-4141-ac43-49827e974b24,0,
,62710150,null,5,62710150,2024-08-10 03:01:49.107,,2024-08-10 03:01:49.107,2,3,HB_05,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,4d0746b1-3840-4345-8829-96589efa0d6f,0,
,62710150,null,11,62710150,2024-08-10 03:01:49.106,,2024-08-10 03:01:49.106,2,3,HB_11,aqfQc5yGC4,com.sec.android.app.shealth,1,ee80c06b-7247-49f4-acee-4a8cd967887e,8156cdb7-181b-43a7-88a9-a639234c91cf,0,
,62710150,null,2,62710150,2024-08-10 03:01:49.108,,2024-08-10 03:01:49.108,2,6,HB_02,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,c2360e2a-136d-4d9b-8671-5a5acb9337d3,0,
,62710150,null,5,62710150,2024-08-10 03:01:49.107,,2024-08-10 03:01:49.107,2,4,HB_05,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,847c82ab-d60a-4345-9c49-ed4778d020eb,0,
,62710150,null,10,62710150,2024-08-10 03:01:49.108,,2024-08-10 03:01:49.108,2,6,HB_10,aqfQc5yGC4,com.sec.android.app.shealth,1,ee80c06b-7247-49f4-acee-4a8cd967887e,2ded428f-a62b-4ad8-b460-84d4ae655b6b,0,
,62710150,null,8,62710150,2024-08-10 03:01:49.107,,2024-08-10 03:01:49.107,2,4,HB_08,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,15fe73d6-0b33-4994-a581-b50337bacbb9,0,
,62710150,null,9,62710150,2024-08-10 03:01:49.108,,2024-08-10 03:01:49.108,2,6,HB_09,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,47a57a3b-e3bd-498d-8d08-930f9e9aa73a,0,
,62710150,null,3,62710150,2024-08-10 03:01:49.107,,2024-08-10 03:01:49.107,2,4,HB_03,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,1dd82c49-c9e5-41a4-a516-26b8a07869e7,0,
,62710150,null,11,62710150,2024-08-10 03:01:49.108,,2024-08-10 03:01:49.108,2,7,HB_11,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,113698a6-9e1f-4b56-a819-5c54f94441d7,0,
,62710150,null,8,62710150,2024-08-10 03:01:49.108,,2024-08-10 03:01:49.108,2,6,HB_08,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,4a05b397-1785-44ad-bb35-db25c90475ac,0,
,62710150,null,3,62710150,2024-08-10 03:01:49.108,,2024-08-10 03:01:49.108,2,6,HB_03,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,e0ddcdd0-8a0f-40e6-83c2-2e3b51606296,0,
,62710150,null,8,62710150,2024-08-10 03:01:49.108,,2024-08-10 03:01:49.108,2,5,HB_08,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,00eb6a67-e4aa-445e-a59c-6ca90c2c744e,0,
,62710150,null,10,62710150,2024-08-10 03:01:49.107,,2024-08-10 03:01:49.107,2,4,HB_10,aqfQc5yGC4,com.sec.android.app.shealth,1,ee80c06b-7247-49f4-acee-4a8cd967887e,56a53939-756b-428d-aaae-7132d975de11,0,
,62710150,null,6,62710150,2024-08-10 03:01:49.108,,2024-08-10 03:01:49.108,2,6,HB_06,aqfQc5yGC4,com.sec.android.app.shealth,0,ee80c06b-7247-49f4-acee-4a8cd967887e,f397cc58-549e-43fd-9064-7223694d7deb,0,
