com.samsung.shealth.stand_day_summary,7006003,2
create_sh_ver,stand_time,modify_sh_ver,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
,20480,,2019-10-26 08:34:22.327,2019-10-25 18:35:14.339,S7Wp0spWno,com.sec.android.app.shealth,5dbcd603-ee64-9007-e303-b2fdf17c5017,2019-10-26 00:00:00.000,
,4096,,2019-11-04 07:27:56.327,2019-11-03 18:30:03.080,S7Wp0spWno,com.sec.android.app.shealth,f4868101-b605-79b1-e0b3-6c80170e4338,2019-11-04 00:00:00.000,
,1056768,,2019-11-06 15:10:13.291,2019-11-05 18:35:08.351,S7Wp0spWno,com.sec.android.app.shealth,b3177c1c-58c0-56d7-4178-68e1e2a8ecad,2019-11-06 00:00:00.000,
,0,,2019-10-24 18:35:31.089,2019-10-24 18:35:31.088,S7Wp0spWno,com.sec.android.app.shealth,ae441ef8-604a-3beb-08a2-f710aee8ffed,2019-10-25 00:00:00.000,
,2428928,,2019-11-14 15:50:24.281,2019-11-13 18:35:07.418,S7Wp0spWno,com.sec.android.app.shealth,5cf8091e-641e-53d4-1856-b8dd1db50300,2019-11-14 00:00:00.000,
,0,,2019-11-10 18:30:04.935,2019-11-10 18:30:04.935,S7Wp0spWno,com.sec.android.app.shealth,db155c09-0878-2073-933c-435058a70252,2019-11-11 00:00:00.000,
,2424832,,2019-11-13 16:13:14.272,2019-11-12 18:31:58.393,S7Wp0spWno,com.sec.android.app.shealth,3d3f3650-4681-f76d-33b1-40a3743747f7,2019-11-13 00:00:00.000,
,2162816,,2019-10-27 16:08:44.317,2019-10-26 18:35:13.308,S7Wp0spWno,com.sec.android.app.shealth,0981c67c-cc62-4aec-5ded-2313a94364aa,2019-10-27 00:00:00.000,
,1441792,,2019-11-03 15:23:08.285,2019-11-02 18:33:06.435,S7Wp0spWno,com.sec.android.app.shealth,b9923ef8-2038-dd43-1dc5-7500765b40a4,2019-11-03 00:00:00.000,
,4194304,,2019-11-09 16:41:10.296,2019-11-08 18:35:07.367,S7Wp0spWno,com.sec.android.app.shealth,a1af5a10-d036-8a1f-3be1-6f9350309aff,2019-11-09 00:00:00.000,
,0,,2019-11-09 18:30:05.464,2019-11-09 18:30:05.464,S7Wp0spWno,com.sec.android.app.shealth,9afb2edb-b3f4-13b1-add7-e3159417a593,2019-11-10 00:00:00.000,
,2105344,,2019-11-07 15:44:54.261,2019-11-06 18:30:59.421,S7Wp0spWno,com.sec.android.app.shealth,c3d32ea4-5de1-1071-81ca-93f6c3190b80,2019-11-07 00:00:00.000,
,1249280,,2019-11-05 15:20:35.275,2019-11-04 18:35:08.413,S7Wp0spWno,com.sec.android.app.shealth,57ecb384-eb29-9541-ac98-b69d8368b191,2019-11-05 00:00:00.000,
,6291456,,2019-10-30 16:52:53.278,2019-10-29 18:35:05.355,S7Wp0spWno,com.sec.android.app.shealth,b076538e-b9c9-0024-9de3-caa7b938e6cc,2019-10-30 00:00:00.000,
,2097152,,2019-11-02 16:14:34.313,2019-11-01 18:30:07.945,S7Wp0spWno,com.sec.android.app.shealth,ca089a34-7d0e-1aeb-364b-21e6304f2b9b,2019-11-02 00:00:00.000,
,2359296,,2019-10-29 16:06:10.346,2019-10-28 18:35:09.475,S7Wp0spWno,com.sec.android.app.shealth,2866625d-1ae4-f4cd-4fb5-4a76f06d22d4,2019-10-29 00:00:00.000,
,2707584,,2019-11-12 15:31:18.296,2019-11-11 18:30:24.502,S7Wp0spWno,com.sec.android.app.shealth,ffc0ae98-75a4-3f32-ed82-54c00fb4f98d,2019-11-12 00:00:00.000,
,65536,,2019-11-01 11:27:14.298,2019-10-31 18:35:09.380,S7Wp0spWno,com.sec.android.app.shealth,001469d1-488c-60fa-ac8c-a9acf17df743,2019-11-01 00:00:00.000,
,0,,2019-10-27 18:30:33.628,2019-10-27 18:30:33.624,S7Wp0spWno,com.sec.android.app.shealth,5fefb797-c8a3-b9f3-b733-456a15c55324,2019-10-28 00:00:00.000,
,266240,,2019-11-08 13:16:09.319,2019-11-07 18:35:04.489,S7Wp0spWno,com.sec.android.app.shealth,dd7603dc-dbf5-08ed-bdb9-263ac1db4fae,2019-11-08 00:00:00.000,
,2228224,,2020-02-05 15:33:26.354,2020-02-04 18:33:33.355,S7Wp0spWno,com.sec.android.app.shealth,702651f3-1dda-c56e-0faa-f04af15980b5,2020-02-05 00:00:00.000,
,65536,,2020-02-06 11:28:55.463,2020-02-05 18:30:33.883,S7Wp0spWno,com.sec.android.app.shealth,675b8f90-ffa6-3371-24a2-f1d2b99aab2d,2020-02-06 00:00:00.000,
,2752512,,2020-02-04 16:18:32.340,2020-02-03 19:06:41.582,S7Wp0spWno,com.sec.android.app.shealth,2873eef5-b917-4775-1db5-39b3b6e71cc8,2020-02-04 00:00:00.000,
,0,,2020-02-07 18:33:15.861,2020-02-07 18:33:15.861,S7Wp0spWno,com.sec.android.app.shealth,c7a7f625-91d8-6c8b-6ab4-844483435a97,2020-02-08 00:00:00.000,
,0,,2020-02-09 18:31:39.180,2020-02-09 18:31:39.180,S7Wp0spWno,com.sec.android.app.shealth,3665dd34-25b1-8c8b-44a7-941af3bad521,2020-02-10 00:00:00.000,
,4096,,2020-02-09 06:40:49.296,2020-02-08 19:35:41.244,S7Wp0spWno,com.sec.android.app.shealth,9a0f0b20-83ba-ab4f-248f-b85ee23ef1ec,2020-02-09 00:00:00.000,
,8192,,2020-02-07 07:34:36.318,2020-02-06 19:01:43.304,S7Wp0spWno,com.sec.android.app.shealth,78ecff41-d71b-b609-ab96-619c8650b01c,2020-02-07 00:00:00.000,
,131073,,2020-01-25 12:28:20.270,2020-01-24 18:30:41.379,S7Wp0spWno,com.sec.android.app.shealth,38bee1ff-dca1-4a56-1073-8a00272a187e,2020-01-25 00:00:00.000,
,8192,,2020-01-16 07:32:55.329,2020-01-15 18:49:50.872,S7Wp0spWno,com.sec.android.app.shealth,2c1a562d-5e5c-b242-706e-2fa0af255065,2020-01-16 00:00:00.000,
,663552,,2020-01-24 14:02:25.286,2020-01-23 19:35:19.192,S7Wp0spWno,com.sec.android.app.shealth,dac36424-dfc9-2dd1-a930-b2a3d41a8b47,2020-01-24 00:00:00.000,
,0,,2020-01-19 18:37:02.173,2020-01-19 18:37:02.173,S7Wp0spWno,com.sec.android.app.shealth,307d767f-0114-dc3e-8ad6-c8fabe0184d6,2020-01-20 00:00:00.000,
,1312768,,2020-01-27 14:58:55.248,2020-01-26 18:35:05.264,S7Wp0spWno,com.sec.android.app.shealth,c67239ad-6884-609f-d31a-694f49e4f0e2,2020-01-27 00:00:00.000,
,339968,,2020-01-29 12:38:40.275,2020-01-28 18:35:05.355,S7Wp0spWno,com.sec.android.app.shealth,3a0fdd5b-df53-e178-2b66-1fc94de2539b,2020-01-29 00:00:00.000,
,2392064,,2020-02-02 15:58:58.286,2020-02-01 18:41:08.636,S7Wp0spWno,com.sec.android.app.shealth,e6a55968-7d84-74de-82e4-be371399db6c,2020-02-02 00:00:00.000,
