com.samsung.shealth.calories_burned.details,7006003,4
active_calories_goal,version,extra_data,exercise_calories,total_exercise_calories,com.samsung.shealth.calories_burned.create_sh_ver,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.modify_sh_ver,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,40b8abb2-5e30-4e70-bcf4-5a3679d6a640.extra_data.json,,593.0,62950170,0.0,8110117,1531.5028,62950170,2025-05-26 12:43:19.347,2025-05-23 01:16:54.151,839.74225,w4dMr03254,com.sec.android.app.shealth,40b8abb2-5e30-4e70-bcf4-5a3679d6a640,2025-04-29 00:00:00.000,
,,d47487a3-535d-48e3-8588-0f76301c1762.extra_data.json,,688.0,62950170,0.0,9466583,1504.9677,62950170,2025-05-25 13:33:47.976,2025-05-23 01:16:54.181,975.881,w4dMr03254,com.sec.android.app.shealth,d47487a3-535d-48e3-8588-0f76301c1762,2025-04-28 00:00:00.000,
,,1e1e0440-887a-4465-b802-2e96eab6349e.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:53.172,2019-09-30 23:05:53.172,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,1e1e0440-887a-4465-b802-2e96eab6349e,2019-09-25 00:00:00.000,
,,30ca89c4-44eb-48ab-9d70-1fb10a5284e7.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:53.139,2019-09-30 23:05:53.139,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,30ca89c4-44eb-48ab-9d70-1fb10a5284e7,2019-09-24 00:00:00.000,
,,33bfbd8b-d0cd-4e3c-8e78-53270baf932c.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:53.239,2019-09-30 23:05:53.239,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,33bfbd8b-d0cd-4e3c-8e78-53270baf932c,2019-09-28 00:00:00.000,
,,086bb18e-26dc-4808-a5f9-15751a84ad3b.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:52.696,2019-09-30 23:05:52.696,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,086bb18e-26dc-4808-a5f9-15751a84ad3b,2019-09-10 00:00:00.000,
,,b78add9a-dc80-4523-855d-6c8c3818ac99.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:52.939,2019-09-30 23:05:52.939,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,b78add9a-dc80-4523-855d-6c8c3818ac99,2019-09-17 00:00:00.000,
,,7391b582-e51c-42ca-9f3a-4a3390db462f.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:58.677,2019-09-30 23:05:58.677,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,7391b582-e51c-42ca-9f3a-4a3390db462f,2019-09-09 00:00:00.000,
,,bd68b393-cfef-42ae-bbbc-29cbee017d7d.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:52.793,2019-09-30 23:05:52.793,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,bd68b393-cfef-42ae-bbbc-29cbee017d7d,2019-09-12 00:00:00.000,
,,926e8539-eec5-400b-b089-498b24c44932.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:52.898,2019-09-30 23:05:52.898,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,926e8539-eec5-400b-b089-498b24c44932,2019-09-16 00:00:00.000,
,,176a8895-3af2-4e46-b23a-f4579e4e8117.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:52.863,2019-09-30 23:05:52.863,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,176a8895-3af2-4e46-b23a-f4579e4e8117,2019-09-15 00:00:00.000,
,,26af8348-61df-48d2-bfb2-442f91c3dbc6.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:48.536,2019-09-30 23:05:48.536,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,26af8348-61df-48d2-bfb2-442f91c3dbc6,2019-09-06 00:00:00.000,
,,3da74f33-5254-4150-af8d-e2aaf0058fd5.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:48.505,2019-09-30 23:05:48.505,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,3da74f33-5254-4150-af8d-e2aaf0058fd5,2019-09-05 00:00:00.000,
,,789b2660-e0f5-400a-8f23-e1d68c8cf834.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:52.726,2019-09-30 23:05:52.726,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,789b2660-e0f5-400a-8f23-e1d68c8cf834,2019-09-11 00:00:00.000,
,,f286bd1d-e2cb-4b1c-8ed8-4bf1728179fe.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:53.802,2019-09-30 23:05:53.802,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,f286bd1d-e2cb-4b1c-8ed8-4bf1728179fe,2019-09-09 00:00:00.000,
,,ee0ff17a-ddd6-4556-b7f6-575d27036b10.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:53.104,2019-09-30 23:05:53.104,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,ee0ff17a-ddd6-4556-b7f6-575d27036b10,2019-09-23 00:00:00.000,
,,f1e03b1a-71ae-457f-acb2-97ca84ff2e95.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:53.197,2019-09-30 23:05:53.197,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,f1e03b1a-71ae-457f-acb2-97ca84ff2e95,2019-09-26 00:00:00.000,
,,29472d9e-01d3-48a8-b2e0-d1be3d9fd88e.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:48.606,2019-09-30 23:05:48.606,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,29472d9e-01d3-48a8-b2e0-d1be3d9fd88e,2019-09-07 00:00:00.000,
,,f97ed636-4b69-4adb-8ae1-ec8d64ef53dd.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:53.002,2019-09-30 23:05:53.002,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,f97ed636-4b69-4adb-8ae1-ec8d64ef53dd,2019-09-19 00:00:00.000,
,,a6b1fb1d-600c-4313-b12b-da52f277e69e.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:52.833,2019-09-30 23:05:52.833,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,a6b1fb1d-600c-4313-b12b-da52f277e69e,2019-09-14 00:00:00.000,
,,adc999f6-5ff5-4835-9605-78518f9c44ce.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:48.464,2019-09-30 23:05:48.464,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,adc999f6-5ff5-4835-9605-78518f9c44ce,2019-09-04 00:00:00.000,
,,9aca6344-3686-46f1-8fa6-987bbcdf9422.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:53.044,2019-09-30 23:05:53.044,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,9aca6344-3686-46f1-8fa6-987bbcdf9422,2019-09-21 00:00:00.000,
,,a5360bb0-e2d3-4f8b-b480-0ccb25b3d404.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:48.630,2019-09-30 23:05:48.630,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,a5360bb0-e2d3-4f8b-b480-0ccb25b3d404,2019-09-08 00:00:00.000,
,,4dffa032-170a-433c-88f6-ac1365edfade.extra_data.json,,,,0.0,0,1610.3641,,2019-09-30 23:05:53.025,2019-09-30 23:05:53.025,0.0,e/aPUWpNiJ,com.sec.android.app.shealth,4dffa032-170a-433c-88f6-ac1365edfade,2019-09-20 00:00:00.000,
