com.samsung.shealth.stress.histogram,7006003,2
update_time,create_time,base_hr,decay_time,deviceuuid,pkg_name,histogram,datauuid
2021-06-07 00:16:40.179,2019-09-30 15:31:02.184,98375,1623025000,S7Wp0spWno,com.sec.android.app.shealth,88c9bba5-7284-7896-b857-a1afc0f1526a.histogram.json,88c9bba5-7284-7896-b857-a1afc0f1526a,
2022-11-29 06:29:19.496,2022-07-27 09:14:48.580,92452,1669703359,S7Wp0spWno,com.sec.android.app.shealth,58a3ea74-9c5e-46a0-eb86-ad39736982d0.histogram.json,58a3ea74-9c5e-46a0-eb86-ad39736982d0,
2024-07-20 08:28:50.776,2024-01-02 03:57:15.443,86770,1721464130,S7Wp0spWno,com.sec.android.app.shealth,e16c17c5-4df6-ce78-4085-829842456cfc.histogram.json,e16c17c5-4df6-ce78-4085-829842456cfc,
2024-10-03 02:35:22.060,2024-07-27 07:26:14.940,87952,1727922922,Y4t2FxnDL4,com.sec.android.app.shealth,13a9a571-4763-4682-b3d5-3e78f8672235.histogram.json,13a9a571-4763-4682-b3d5-3e78f8672235,
